date,region,value
2025-05,전남,11895
2025-05,경북,24323
2025-05,경남,40310
2025-05,제주,3518
2025-06,전국,741154
2025-06,서울,117537
2025-06,부산,72288
2025-06,대구,49685
2025-06,인천,51516
2025-06,광주,25965
2025-06,대전,24640
2025-06,울산,14024
2025-06,세종,8895
2025-06,경기,214115
2025-06,강원,20287
2025-06,충북,19259
2025-06,충남,31553
2025-06,전북,15705
2025-06,전남,11199
2025-06,경북,22893
2025-06,경남,38368
2025-06,제주,3225
2025-07,전국,743089
2025-07,서울,117483
2025-07,부산,71989
2025-07,대구,49702
2025-07,인천,52783
2025-07,광주,25805
2025-07,대전,24283
2025-07,울산,14055
2025-07,세종,9109
2025-07,경기,216220
2025-07,강원,20442
2025-07,충북,19170
2025-07,충남,31751
2025-07,전북,15680
2025-07,전남,10965
2025-07,경북,22592
2025-07,경남,37814
2025-07,제주,3246
2025-08,전국,749156
2025-08,서울,119558
2025-08,부산,72013
2025-08,대구,49712
2025-08,인천,53377
2025-08,광주,26218
2025-08,대전,23922
2025-08,울산,14123
2025-08,세종,9243
2025-08,경기,218757
2025-08,강원,20895
2025-08,충북,19621
2025-08,충남,31909
2025-08,전북,15733
2025-08,전남,10660
2025-08,경북,22483
2025-08,경남,37678
2025-08,제주,3254
2025-09,전국,750807
2025-09,서울,119764
2025-09,부산,72014
2025-09,대구,49436
2025-09,인천,53919
2025-09,광주,26837
2025-09,대전,23872
2025-09,울산,14262
2025-09,세종,9568
2025-09,경기,217596
2025-09,강원,21424
2025-09,충북,19996
2025-09,충남,31886
2025-09,전북,15661
2025-09,전남,10818
2025-09,경북,22868
2025-09,경남,37670
2025-09,제주,3216
2025-10,전국,729211
2025-10,서울,110226
2025-10,부산,71161
2025-10,대구,49037
2025-10,인천,53116
2025-10,광주,26988
2025-10,대전,23720
2025-10,울산,14058
2025-10,세종,9708
2025-10,경기,207505
2025-10,강원,21766
2025-10,충북,20090
2025-10,충남,31969
2025-10,전북,15511
2025-10,전남,10780
2025-10,경북,22680
2025-10,경남,37640
2025-10,제주,3256
2025-11,전국,717923
2025-11,서울,108086
2025-11,부산,70468
2025-11,대구,48134
2025-11,인천,52448
2025-11,광주,27359
2025-11,대전,23159
2025-11,울산,14201
2025-11,세종,10026
2025-11,경기,201566
2025-11,강원,22042
2025-11,충북,19513
2025-11,충남,31794
2025-11,전북,15013
2025-11,전남,10732
2025-11,경북,22724
2025-11,경남,37419
2025-11,제주,3239
2025-12,전국,706297
2025-12,서울,102278
2025-12,부산,69853
2025-12,대구,47868
2025-12,인천,52399
2025-12,광주,27931
2025-12,대전,23153
2025-12,울산,14217
2025-12,세종,10055
2025-12,경기,197011
2025-12,강원,22034
2025-12,충북,19069
2025-12,충남,32074
2025-12,전북,15017
2025-12,전남,10773
2025-12,경북,22564
2025-12,경남,36919
2025-12,제주,3082
2026-01,전국,697053
2026-01,서울,99348
2026-01,부산,69630
2026-01,대구,47353
2026-01,인천,52226
2026-01,광주,29010
2026-01,대전,23236
2026-01,울산,14333
2026-01,세종,9961
2026-01,경기,192817
